# Moment      
# CofR        : (2.929541e+00 0.000000e+00 2.000000e-01)
#
# Time        	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.000120005   	(-8.303654e+05 -2.582867e+07 1.462674e+07)	(-8.303654e+05 -2.582869e+07 1.462679e+07)	(-2.522416e-02 2.271787e+01 -4.496767e+01)
0.000264017   	(-8.136187e+04 4.975778e+05 -3.401358e+05)	(-8.136190e+04 4.975554e+05 -3.400894e+05)	(3.198365e-02 2.241381e+01 -4.636935e+01)
0.000436833   	(-5.307264e+04 3.833659e+05 -2.154914e+05)	(-5.307269e+04 3.833436e+05 -2.154451e+05)	(4.840811e-02 2.228869e+01 -4.632627e+01)
0.000644211   	(-3.929850e+04 3.163727e+05 -1.624350e+05)	(-3.929856e+04 3.163505e+05 -1.623888e+05)	(5.827169e-02 2.222240e+01 -4.623030e+01)
0.000893055   	(-3.151528e+04 2.765585e+05 -1.368416e+05)	(-3.151534e+04 2.765363e+05 -1.367955e+05)	(6.570807e-02 2.218242e+01 -4.611023e+01)
0.00119165    	(-2.677405e+04 2.523421e+05 -1.223046e+05)	(-2.677412e+04 2.523200e+05 -1.222586e+05)	(7.194584e-02 2.215629e+01 -4.597232e+01)
0.0015499     	(-2.375497e+04 2.367432e+05 -1.133364e+05)	(-2.375505e+04 2.367211e+05 -1.132906e+05)	(7.755992e-02 2.213769e+01 -4.581550e+01)
0.00197972    	(-2.174053e+04 2.264723e+05 -1.076369e+05)	(-2.174061e+04 2.264502e+05 -1.075913e+05)	(8.190471e-02 2.211735e+01 -4.563860e+01)
0.00249549    	(-2.036642e+04 2.189187e+05 -1.038262e+05)	(-2.036650e+04 2.188966e+05 -1.037808e+05)	(8.399930e-02 2.209186e+01 -4.544254e+01)
0.00311429    	(-1.945953e+04 2.132024e+05 -1.011583e+05)	(-1.945962e+04 2.131804e+05 -1.011131e+05)	(8.348755e-02 2.206541e+01 -4.522795e+01)
0.00385657    	(-1.884708e+04 2.092477e+05 -9.935304e+04)	(-1.884716e+04 2.092257e+05 -9.930804e+04)	(8.021573e-02 2.203666e+01 -4.499609e+01)
0.00474757    	(-1.845153e+04 2.065914e+05 -9.815663e+04)	(-1.845161e+04 2.065694e+05 -9.811188e+04)	(7.467757e-02 2.199584e+01 -4.474851e+01)
0.00581659    	(-1.818329e+04 2.050376e+05 -9.755541e+04)	(-1.818336e+04 2.050157e+05 -9.751093e+04)	(6.737033e-02 2.193864e+01 -4.448602e+01)
0.00709941    	(-1.800744e+04 2.045892e+05 -9.756499e+04)	(-1.800750e+04 2.045673e+05 -9.752077e+04)	(5.864948e-02 2.185276e+01 -4.421101e+01)
0.00863879    	(-1.792916e+04 2.052051e+05 -9.806807e+04)	(-1.792921e+04 2.051833e+05 -9.802414e+04)	(4.910901e-02 2.172566e+01 -4.393076e+01)
0.0104849     	(-1.791466e+04 2.067326e+05 -9.913392e+04)	(-1.791470e+04 2.067110e+05 -9.909027e+04)	(3.903283e-02 2.155211e+01 -4.365520e+01)
0.0126986     	(-1.797663e+04 2.094886e+05 -1.007369e+05)	(-1.797666e+04 2.094672e+05 -1.006935e+05)	(2.909330e-02 2.133521e+01 -4.339843e+01)
0.0153526     	(-1.809034e+04 2.136172e+05 -1.029810e+05)	(-1.809036e+04 2.135962e+05 -1.029378e+05)	(1.943498e-02 2.106203e+01 -4.317989e+01)
0.0185392     	(-1.823468e+04 2.182773e+05 -1.054717e+05)	(-1.823469e+04 2.182565e+05 -1.054287e+05)	(9.000406e-03 2.080008e+01 -4.302361e+01)
0.0223581     	(-1.840053e+04 2.232206e+05 -1.080978e+05)	(-1.840053e+04 2.232000e+05 -1.080549e+05)	(-3.582447e-03 2.059220e+01 -4.295506e+01)
0.026948      	(-1.856847e+04 2.282122e+05 -1.107447e+05)	(-1.856845e+04 2.281918e+05 -1.107017e+05)	(-2.122000e-02 2.042973e+01 -4.300556e+01)
0.0324454     	(-1.873216e+04 2.330014e+05 -1.132090e+05)	(-1.873212e+04 2.329811e+05 -1.131658e+05)	(-4.400907e-02 2.034362e+01 -4.319654e+01)
0.0390274     	(-1.888825e+04 2.371311e+05 -1.152548e+05)	(-1.888819e+04 2.371107e+05 -1.152113e+05)	(-6.603923e-02 2.035430e+01 -4.354588e+01)
0.0467772     	(-1.901357e+04 2.403599e+05 -1.167486e+05)	(-1.901348e+04 2.403395e+05 -1.167045e+05)	(-8.977909e-02 2.047406e+01 -4.407231e+01)
0.0557699     	(-1.914256e+04 2.431373e+05 -1.178641e+05)	(-1.914246e+04 2.431165e+05 -1.178193e+05)	(-9.857635e-02 2.083549e+01 -4.473371e+01)
0.0660332     	(-1.927138e+04 2.452016e+05 -1.184287e+05)	(-1.927131e+04 2.451801e+05 -1.183831e+05)	(-6.889818e-02 2.149897e+01 -4.551622e+01)
0.0778556     	(-1.933178e+04 2.462047e+05 -1.184749e+05)	(-1.933177e+04 2.461822e+05 -1.184285e+05)	(-2.805589e-03 2.246025e+01 -4.646083e+01)
0.0914166     	(-1.935458e+04 2.465152e+05 -1.179923e+05)	(-1.935467e+04 2.464915e+05 -1.179447e+05)	(9.110740e-02 2.370996e+01 -4.764730e+01)
0.106816      	(-1.933576e+04 2.459901e+05 -1.171436e+05)	(-1.933597e+04 2.459648e+05 -1.170944e+05)	(2.098212e-01 2.525099e+01 -4.917260e+01)
0.123993      	(-1.931220e+04 2.441045e+05 -1.156675e+05)	(-1.931255e+04 2.440773e+05 -1.156164e+05)	(3.523128e-01 2.713832e+01 -5.115669e+01)
0.143037      	(-1.925262e+04 2.409938e+05 -1.138054e+05)	(-1.925314e+04 2.409643e+05 -1.137516e+05)	(5.237522e-01 2.949484e+01 -5.380734e+01)
0.164461      	(-1.916794e+04 2.371601e+05 -1.116785e+05)	(-1.916868e+04 2.371274e+05 -1.116210e+05)	(7.354657e-01 3.264162e+01 -5.747258e+01)
0.188333      	(-1.904270e+04 2.333296e+05 -1.095839e+05)	(-1.904370e+04 2.332926e+05 -1.095213e+05)	(9.967425e-01 3.702543e+01 -6.263145e+01)
0.213698      	(-1.889862e+04 2.301818e+05 -1.078251e+05)	(-1.889991e+04 2.301387e+05 -1.077554e+05)	(1.292545e+00 4.316980e+01 -6.977300e+01)
0.240812      	(-1.871678e+04 2.273047e+05 -1.060270e+05)	(-1.871842e+04 2.272525e+05 -1.059472e+05)	(1.636702e+00 5.213818e+01 -7.975250e+01)
0.266991      	(-1.854865e+04 2.250127e+05 -1.044402e+05)	(-1.855066e+04 2.249490e+05 -1.043476e+05)	(2.017261e+00 6.376825e+01 -9.251298e+01)
0.292267      	(-1.837202e+04 2.228849e+05 -1.029602e+05)	(-1.837450e+04 2.228066e+05 -1.028517e+05)	(2.475715e+00 7.830203e+01 -1.084051e+02)
0.316671      	(-1.819823e+04 2.208466e+05 -1.014865e+05)	(-1.820125e+04 2.207515e+05 -1.013591e+05)	(3.022692e+00 9.512410e+01 -1.273730e+02)
0.341076      	(-1.803021e+04 2.187584e+05 -9.998492e+04)	(-1.803389e+04 2.186441e+05 -9.983541e+04)	(3.672938e+00 1.142890e+02 -1.495107e+02)
0.364609      	(-1.788188e+04 2.168257e+05 -9.861647e+04)	(-1.788628e+04 2.166910e+05 -9.844288e+04)	(4.395195e+00 1.346776e+02 -1.735902e+02)
0.387301      	(-1.773994e+04 2.149127e+05 -9.718568e+04)	(-1.774509e+04 2.147573e+05 -9.698695e+04)	(5.150114e+00 1.554171e+02 -1.987261e+02)
0.409994      	(-1.758810e+04 2.128377e+05 -9.568278e+04)	(-1.759402e+04 2.126613e+05 -9.545812e+04)	(5.916819e+00 1.763509e+02 -2.246544e+02)
0.432687      	(-1.740649e+04 2.108521e+05 -9.424245e+04)	(-1.741326e+04 2.106552e+05 -9.399155e+04)	(6.773149e+00 1.968613e+02 -2.509043e+02)
0.454506      	(-1.725811e+04 2.089978e+05 -9.291680e+04)	(-1.726583e+04 2.087819e+05 -9.264098e+04)	(7.721536e+00 2.159109e+02 -2.758222e+02)
0.476326      	(-1.708086e+04 2.069630e+05 -9.145772e+04)	(-1.708956e+04 2.067291e+05 -9.115781e+04)	(8.705954e+00 2.338463e+02 -2.999099e+02)
0.494384      	(-1.690239e+04 2.053601e+05 -9.012429e+04)	(-1.691188e+04 2.051118e+05 -8.980522e+04)	(9.490413e+00 2.483628e+02 -3.190734e+02)
0.512441      	(-1.673670e+04 2.038015e+05 -8.921197e+04)	(-1.674705e+04 2.035396e+05 -8.887540e+04)	(1.035252e+01 2.618541e+02 -3.365713e+02)
0.530499      	(-1.654385e+04 2.020272e+05 -8.797607e+04)	(-1.655520e+04 2.017529e+05 -8.762386e+04)	(1.134591e+01 2.742722e+02 -3.522101e+02)
0.546689      	(-1.637635e+04 2.006114e+05 -8.706024e+04)	(-1.638856e+04 2.003265e+05 -8.669537e+04)	(1.220904e+01 2.848905e+02 -3.648615e+02)
0.564124      	(-1.614910e+04 1.989557e+05 -8.612597e+04)	(-1.616228e+04 1.986605e+05 -8.574932e+04)	(1.318622e+01 2.952744e+02 -3.766437e+02)
0.577332      	(-1.597775e+04 1.977535e+05 -8.515454e+04)	(-1.599169e+04 1.974505e+05 -8.477005e+04)	(1.393600e+01 3.030128e+02 -3.844904e+02)
0.589764      	(-1.575212e+04 1.963959e+05 -8.429206e+04)	(-1.576675e+04 1.960860e+05 -8.390125e+04)	(1.462771e+01 3.098923e+02 -3.908101e+02)
