#0.000120005   	(-6.200512e+06 1.683751e+06 2.536444e+06)	(-6.200487e+06 1.683751e+06 2.536444e+06)	(-2.507197e+01 -2.230156e-02 3.036540e-02)
#0.000264017   	(-4.665410e+05 1.466353e+05 2.259419e+05)	(-4.665094e+05 1.466353e+05 2.259419e+05)	(-3.158743e+01 -3.133048e-02 -6.039048e-02)
#0.000436833   	(-1.981848e+05 1.035695e+05 1.553532e+05)	(-1.981526e+05 1.035695e+05 1.553533e+05)	(-3.216994e+01 -3.299873e-02 -1.041627e-01)
#0.000644211   	(-1.125357e+05 7.901867e+04 1.195565e+05)	(-1.125036e+05 7.901873e+04 1.195566e+05)	(-3.212462e+01 -5.995049e-02 -1.239667e-01)
#0.000893055   	(-7.338265e+04 6.466057e+04 9.991648e+04)	(-7.335056e+04 6.466065e+04 9.991662e+04)	(-3.208322e+01 -8.249638e-02 -1.373763e-01)
#0.00119165    	(-5.075417e+04 5.566285e+04 8.799542e+04)	(-5.072213e+04 5.566295e+04 8.799556e+04)	(-3.204286e+01 -1.023603e-01 -1.464068e-01)
#0.0015499     	(-3.654778e+04 4.974324e+04 8.038423e+04)	(-3.651578e+04 4.974336e+04 8.038438e+04)	(-3.200214e+01 -1.207540e-01 -1.522305e-01)
#0.00197972    	(-2.705153e+04 4.569919e+04 7.536991e+04)	(-2.701957e+04 4.569933e+04 7.537007e+04)	(-3.196029e+01 -1.385716e-01 -1.555221e-01)
#0.00249549    	(-2.038404e+04 4.286930e+04 7.196275e+04)	(-2.035212e+04 4.286945e+04 7.196291e+04)	(-3.191710e+01 -1.565616e-01 -1.567439e-01)
#0.00311429    	(-1.555686e+04 4.081726e+04 6.959456e+04)	(-1.552499e+04 4.081744e+04 6.959472e+04)	(-3.187276e+01 -1.753572e-01 -1.563101e-01)
0.00385657    	(-1.197952e+04 3.934680e+04 6.792332e+04)	(-1.194769e+04 3.934700e+04 6.792347e+04)	(-3.182753e+01 -1.960710e-01 -1.551859e-01)
0.00474757    	(-9.306246e+03 3.825975e+04 6.673565e+04)	(-9.274464e+03 3.825997e+04 6.673581e+04)	(-3.178229e+01 -2.194068e-01 -1.531914e-01)
0.00581659    	(-7.337560e+03 3.744728e+04 6.586655e+04)	(-7.305822e+03 3.744752e+04 6.586670e+04)	(-3.173818e+01 -2.461186e-01 -1.505058e-01)
0.00709941    	(-5.916718e+03 3.679579e+04 6.520214e+04)	(-5.885021e+03 3.679606e+04 6.520229e+04)	(-3.169647e+01 -2.766629e-01 -1.461105e-01)
0.00863879    	(-5.097951e+03 3.625516e+04 6.466474e+04)	(-5.066293e+03 3.625547e+04 6.466488e+04)	(-3.165820e+01 -3.115250e-01 -1.393171e-01)
0.0104849     	(-4.565685e+03 3.578347e+04 6.424338e+04)	(-4.534059e+03 3.578382e+04 6.424351e+04)	(-3.162588e+01 -3.512808e-01 -1.296118e-01)
0.0126986     	(-4.173378e+03 3.538586e+04 6.388312e+04)	(-4.141774e+03 3.538625e+04 6.388324e+04)	(-3.160421e+01 -3.963807e-01 -1.188409e-01)
0.0153526     	(-3.924860e+03 3.504037e+04 6.356046e+04)	(-3.893263e+03 3.504082e+04 6.356057e+04)	(-3.159683e+01 -4.467307e-01 -1.072494e-01)
0.0185392     	(-3.859425e+03 3.477004e+04 6.325973e+04)	(-3.827818e+03 3.477054e+04 6.325983e+04)	(-3.160666e+01 -5.016713e-01 -9.527264e-02)
0.0223581     	(-3.766241e+03 3.451446e+04 6.300884e+04)	(-3.734603e+03 3.451502e+04 6.300893e+04)	(-3.163793e+01 -5.600661e-01 -8.165995e-02)
0.026948      	(-3.732782e+03 3.431465e+04 6.280546e+04)	(-3.701085e+03 3.431527e+04 6.280552e+04)	(-3.169703e+01 -6.212472e-01 -6.520005e-02)
